RCA[%],fc[MPa],b[mm],d[mm],a/d,rhow[%],Vtest[kN]
25,35.7,200,260,3.08,1.16,67.5
50,29,200,260,3.08,1.16,59.5
75,32.9,200,260,3.08,1.16,62.5
100,31.9,200,260,3.08,1.16,61
25,30.7,200,260,3.08,1.81,83.85
50,23,200,260,3.08,1.81,72.5
75,34,200,260,3.08,1.81,87.5
100,29.5,200,260,3.08,1.81,81.15
100,34.5,200,225,1.5,1.78,130
100,34.5,200,225,1.5,1.78,150.3
100,34.5,200,225,1.5,1.78,140.4
100,34.5,200,225,3,1.78,50.2
100,34.5,200,225,3,1.78,49
100,46.7,200,270,2.6,1.31,92.28
100,46.8,200,270,2.6,0.75,81.29
100,46.5,200,270,2.6,0.75,81.1
15,22.6,150,250,2,2.14,55.5
30,21.5,150,250,2,2.14,36.5
45,20,150,250,2,2.14,35.5
30,21.4,150,250,1,2.14,41.5
30,21.2,150,250,3,2.14,29
30,23.8,150,250,2,2.14,43
30,22,150,250,2,2.14,37
50,33.4,200,235,4.2,4.09,91.75
100,34.5,200,235,4.2,4.09,104.75
10,36.6,150,388,3,0.79,44.5
20,35,150,388,3,0.79,40.05
20,35.3,150,388,3,0.79,48.9
35,35.3,150,388,3,0.79,45.05
50,38.1,150,388,3,0.79,46.95
75,36.6,150,388,3,0.79,47.4
100,35.8,150,388,3,0.79,42.5
5,37.4,150,388,3,0.79,56
10,34.8,150,388,3,0.79,52.5
16,35.4,150,388,3,0.79,54.2
23,34,150,388,3,0.79,47.25
35,35.1,150,388,3,0.79,42.5
50,25.2,206,260,2,1.9,58.94
50,25.2,206,260,3,1.9,49.07
100,23.2,206,260,2,1.9,55.04
100,23.2,206,260,3,1.9,46.45
50,32,305,375,3.2,1.27,117.4
50,35.5,305,375,3.2,2.03,111.6
50,32,305,400,3,2.71,151.2
50,35.5,305,400,3,1.27,148.6
50,32,305,400,3,2.03,171.7
50,35.5,305,400,3,2.71,168.6
50,30.8,305,375,3.2,1.27,120.5
50,26.6,305,375,3.2,2.03,99.9
50,30.8,305,400,3,2.71,140.8
50,26.6,305,400,3,1.27,134.6
50,30.8,305,400,3,2.03,136.3
50,26.6,305,400,3,2.71,116.8
50,32.1,300,400,3,1.27,117.5
50,32.1,300,375,3,2.03,151.3
50,32.1,300,375,3,2.71,171.8
50,35.5,300,400,3,1.27,111.7
50,35.5,300,375,3,2.03,148.6
50,35.5,300,375,3,2.71,168.7
100,30,300,400,3,1.27,114.8
100,30,300,375,3,2.03,143.2
100,30,300,375,3,2.71,131.4
100,34.1,300,400,3,1.27,113
100,34.1,300,375,3,2.03,124.1
100,34.1,300,375,3,2.71,140.3
50,41.8,150,200,3.875,1.34,44
50,41.8,150,200,3.875,1.34,39.1
50,37.4,150,200,3.875,1.34,43.7
50,37.4,150,200,3.875,1.34,41.2
100,39.1,150,200,3.875,1.34,36.4
100,39.1,150,200,3.875,1.34,38
100,39.2,150,200,3.875,1.34,39.9
100,39.2,150,200,3.875,1.34,39.9
50,32.6,200,300,2.5,2.85,60.6
50,32.6,200,450,2.5,2.85,108.9
50,32.6,200,600,2.5,2.85,126.1
50,32.6,300,450,2.5,3.02,154.2
50,32.6,400,600,2.5,2.85,261.5
100,34.9,200,300,2.5,2.85,72.9
100,34.9,200,450,2.5,2.85,96.4
100,34.9,200,600,2.5,2.85,125.1
100,34.9,300,450,2.5,3.02,159.8
100,34.9,400,600,2.5,2.85,256.6
63.5,41.6,200,300,1.5,1,186.7
63.5,41.6,200,300,2,1.5,169.5
63.5,41.6,200,309,2.59,1.62,103.9
63.5,41.6,200,201,5.69,1.99,89.3
63.5,41.6,200,305,3.93,2.46,83.2
63.5,41.6,200,381,2.73,1.83,99.5
30,24.5,200,360,1.5,1.61,161.7
30,24.5,200,360,2.5,1.61,81.34
30,24.5,200,360,3.25,1.61,56.7
30,24.5,200,360,2.5,0.53,56.7
30,24.5,200,360,2.5,0.83,78.4
50,24.2,200,360,1.5,1.61,152.88
50,24.2,200,360,2.5,1.61,87.9
50,24.2,200,360,3.25,1.61,71.54
50,24.2,200,360,2.5,0.53,57.82
50,24.2,200,360,2.5,0.83,67.13
100,22.6,200,360,1.5,1.61,107.8
100,22.6,200,360,2.5,1.61,84.77
100,22.6,200,360,3.25,1.61,57.77
100,22.6,200,360,2.5,0.53,59.78
100,22.6,200,360,2.5,0.83,70.07
100,39.7,200,303,3.3,2.98,90.64
25,42.4,200,303,3.3,2.98,104
50,41.3,200,303,3.3,2.98,89
100,39.8,200,303,3.3,2.98,84
100,46.5,150,160,4.4,1.06,21
100,32.9,150,160,4.4,1.06,21.7
100,46.6,150,160,4.4,1.06,21.4
100,30.4,150,160,4.4,0.59,12.1
100,28.4,150,160,4.4,0.59,12.6
100,34.5,150,160,4.4,0.59,13.2
100,31.8,150,160,4.4,0.59,13.5
100,30.4,150,160,4.4,1.06,19.7
100,28.4,150,160,4.4,1.06,20
100,34.5,150,160,4.4,1.06,20
100,31.8,150,160,4.4,1.06,21.4
100,30.4,150,160,4.4,1.65,27.3
100,28.4,150,160,4.4,1.65,27.7
100,34.5,150,160,4.4,1.65,28.3
100,31.8,150,160,4.4,1.65,31.1
100,39.6,170,270,1.5,1.1,83.5
100,30.6,170,270,2,1.1,65.2
100,32.6,170,270,2,1.1,60.6
100,31.2,170,270,3,1.1,42.7
100,31.9,170,270,4,1.1,31.7
