$RCA[\%]$,$f_c^{\prime}$,$b[mm]$,$d[mm]$,$a/d$,$\rho_w[\%]$,$V_{test}[kN]$
75.0,34.0,200,260,3.08,1.81,87.5
35.0,35.8,150,388,3.0,0.79,52.5
50.0,35.5,305,400,3.0,1.27,148.6
100.0,34.5,200,225,1.5,1.78,130.0
100.0,46.7,200,270,2.6,1.31,92.28
50.0,32.6,400,600,2.5,2.85,261.5
50.0,41.8,150,200,3.875,1.34,44.0
50.0,35.5,305,400,3.0,1.27,148.6
75.0,34.0,200,260,3.08,1.81,87.5
30.0,21.5,150,250,2.0,2.14,37.0
100.0,30.4,150,160,4.4,1.06,21.4
50.0,32.6,305,375,3.2,3.02,154.2
100.0,31.9,200,260,3.08,1.16,61.0
100.0,28.4,150,160,4.4,1.06,12.1
50.0,41.3,305,303,3.3,2.98,89.0
50.0,29.0,200,260,3.08,1.16,59.5
50.0,29.0,200,260,3.3,1.16,91.75
100.0,34.5,200,225,3.0,1.78,49.0
50.0,23.0,200,260,3.08,1.81,72.5
100.0,31.9,200,270,3.08,1.16,61.0
100.0,34.9,400,600,2.5,2.85,256.6
100.0,34.5,200,225,3.0,1.78,49.0
63.5,37.4,200,201,5.69,1.99,89.3
100.0,34.5,200,225,1.5,1.78,150.3
50.0,35.5,305,400,3.0,1.27,148.6
63.5,41.6,200,381,2.73,1.83,99.5
30.0,21.4,150,250,1.0,2.14,43.0
75.0,34.0,200,260,3.08,1.81,87.5
100.0,46.7,200,270,2.6,1.31,92.28
50.0,26.6,305,200,3.875,3.02,39.1
100.0,30.4,150,160,4.4,1.06,19.7
100.0,34.5,150,160,4.4,0.59,12.1
75.0,34.0,200,260,2.73,1.81,87.5
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.9,170,270,4.0,1.1,31.7
30.0,21.4,150,250,2.0,2.14,37.0
63.5,41.6,200,381,2.73,1.83,99.5
35.0,38.1,150,388,3.0,0.79,46.95
100.0,34.5,200,225,4.4,1.78,49.0
50.0,29.0,200,260,2.5,2.85,59.5
75.0,34.0,200,260,3.08,1.81,87.5
100.0,31.9,200,260,3.08,1.16,61.0
100.0,34.5,200,225,3.0,1.78,150.3
50.0,32.6,200,450,2.5,2.85,59.5
30.0,22.0,150,250,2.0,2.14,37.0
100.0,34.5,200,225,3.0,1.78,50.2
30.0,22.0,150,250,2.0,2.14,55.5
25.0,35.7,150,260,2.0,1.16,104.0
25.0,35.7,200,260,3.08,1.16,67.5
100.0,31.9,170,270,4.0,1.1,31.7
30.0,21.5,150,250,2.0,2.14,36.5
50.0,41.3,150,200,3.25,1.34,71.54
100.0,31.9,170,270,4.0,1.1,31.7
100.0,23.2,206,260,2.0,1.9,55.04
100.0,46.7,200,270,2.6,0.75,81.29
50.0,35.5,305,375,3.0,2.03,43.7
100.0,34.5,200,225,3.0,1.78,49.0
100.0,34.5,200,225,1.5,1.78,140.4
50.0,34.9,400,600,2.5,2.85,256.6
100.0,34.5,200,225,1.5,1.78,130.0
35.0,35.3,150,388,3.0,0.79,45.05
100.0,34.5,200,225,3.0,1.78,50.2
100.0,32.6,170,270,2.0,1.1,65.2
50.0,29.0,200,260,2.0,1.16,59.5
100.0,34.5,200,225,1.5,1.78,150.3
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.9,170,270,4.0,1.1,31.7
100.0,46.7,300,270,2.6,1.31,92.28
50.0,35.5,305,375,3.0,1.27,111.7
100.0,34.5,200,225,3.0,1.78,150.3
30.0,23.8,150,250,2.0,2.14,43.0
100.0,31.9,200,260,3.08,1.9,61.0
100.0,46.7,200,270,2.6,1.31,92.28
100.0,22.6,200,360,2.6,1.61,57.77
75.0,34.0,200,260,3.08,1.81,87.5
30.0,22.0,150,250,2.0,2.14,37.0
100.0,46.8,200,270,2.6,0.75,81.29
100.0,31.9,170,270,4.0,1.1,31.7
100.0,34.5,200,225,1.5,1.78,150.3
50.0,29.0,200,450,2.5,2.85,59.5
30.0,36.6,150,388,3.0,2.14,47.4
50.0,29.0,200,260,3.08,1.16,59.5
50.0,29.0,200,260,3.2,1.16,59.5
100.0,46.8,200,270,2.6,0.75,81.29
63.5,41.6,200,201,2.59,1.62,103.9
50.0,29.0,200,260,3.08,1.16,59.5
50.0,29.0,200,260,3.08,1.16,59.5
100.0,34.5,200,225,3.0,1.78,49.0
30.0,21.5,150,250,2.0,2.14,36.5
50.0,32.6,200,260,3.08,1.16,61.0
100.0,46.8,200,270,2.6,0.75,81.29
100.0,30.0,300,400,3.0,1.27,111.7
75.0,34.0,200,260,3.08,1.81,87.5
100.0,31.8,150,160,4.4,1.06,21.4
100.0,46.7,200,270,2.6,1.31,92.28
50.0,29.0,200,260,3.08,1.16,59.5
50.0,33.4,305,235,4.2,4.09,91.75
50.0,34.9,400,600,2.5,2.85,256.6
100.0,46.5,150,160,3.0,1.06,21.0
100.0,46.5,200,270,2.6,0.75,81.1
50.0,33.4,200,235,4.2,4.09,91.75
100.0,46.8,200,270,2.6,0.75,81.29
100.0,22.6,200,360,2.5,0.53,59.78
100.0,28.4,150,160,4.4,0.59,12.1
63.5,41.6,200,201,5.69,1.99,89.3
100.0,34.5,200,225,1.5,1.78,150.3
100.0,46.8,200,270,2.6,0.75,81.29
100.0,30.4,150,160,4.4,1.06,12.1
50.0,24.2,305,375,3.2,2.03,111.6
30.0,22.0,150,250,2.0,2.14,43.0
75.0,34.0,200,260,3.08,1.81,87.5
50.0,38.1,150,388,3.0,0.79,46.95
30.0,21.2,150,388,3.0,0.79,29.0
100.0,22.6,200,360,2.5,0.53,59.78
100.0,46.7,300,270,2.6,1.31,92.28
30.0,36.6,150,388,3.0,0.79,47.4
100.0,32.6,300,450,2.5,3.02,154.2
100.0,34.5,200,225,3.0,1.78,49.0
100.0,34.5,200,225,3.0,1.78,49.0
100.0,31.9,170,270,4.0,1.1,31.7
63.5,41.6,200,381,2.73,1.83,99.5
50.0,32.0,305,400,3.0,2.71,151.2
100.0,46.7,200,270,2.6,1.31,92.28
100.0,34.9,400,600,2.5,2.85,256.6
100.0,31.9,170,270,4.0,1.1,31.7
50.0,35.5,305,400,3.0,1.27,148.6
50.0,35.5,305,400,3.0,2.71,99.9
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,200,260,3.08,1.16,61.0
100.0,31.9,170,270,4.0,1.1,31.7
100.0,46.7,200,270,2.6,0.75,59.78
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.8,150,160,4.4,0.59,21.4
50.0,37.4,150,388,3.0,0.79,43.7
100.0,31.9,170,270,4.0,1.1,31.7
35.0,21.2,150,388,3.0,0.79,42.5
50.0,33.4,305,375,3.2,2.03,91.75
100.0,34.5,200,225,1.5,1.78,130.0
50.0,29.0,200,260,3.08,1.16,59.5
75.0,32.9,200,260,3.08,1.16,62.5
100.0,46.7,200,270,2.6,1.31,92.28
30.0,34.0,150,250,2.0,2.14,35.5
50.0,35.5,305,400,3.0,1.27,134.6
30.0,23.8,150,250,2.0,2.14,43.0
100.0,34.9,200,450,2.5,2.85,84.77
100.0,46.7,200,270,2.6,1.31,92.28
